iter	MultiClass
0	1.336005506
1	1.290164287
2	1.248358864
3	1.210467078
4	1.175704074
5	1.142575036
6	1.112147032
7	1.083316961
8	1.055526706
9	1.02989932
10	1.006035663
11	0.9837697285
12	0.9619926394
13	0.9417291212
14	0.9215582951
15	0.9024365876
16	0.8844327176
17	0.8670900699
18	0.8505272189
19	0.8345961161
20	0.8193116531
21	0.8047959283
22	0.7911187859
23	0.7776850202
24	0.7650547331
25	0.7531866492
26	0.7413635715
27	0.7302477299
28	0.7191956136
29	0.7089406226
30	0.698551597
31	0.6886312309
32	0.6789212378
33	0.6697675253
34	0.6606551669
35	0.6522624283
36	0.6441277643
37	0.6356408819
38	0.6274962549
39	0.6197784719
40	0.6122752312
41	0.6050336862
42	0.5981829626
43	0.5913251634
44	0.5844941365
45	0.5776824673
46	0.5719107441
47	0.5658986043
48	0.5598681999
49	0.5542545091
50	0.5488378188
51	0.5433528125
52	0.5382211754
53	0.5329972051
54	0.5276622487
55	0.5225591201
56	0.517783843
57	0.5132862772
58	0.5087508415
59	0.5039105454
60	0.498951196
61	0.4944057783
62	0.4899866364
63	0.4856758211
64	0.480794399
65	0.4769251242
66	0.4723942335
67	0.4684995077
68	0.4646724492
69	0.4606963551
70	0.4571526889
71	0.4534251543
72	0.4498016293
73	0.4464280016
74	0.4431066832
75	0.439323506
76	0.4360586554
77	0.433047309
78	0.4301448781
79	0.4272007087
80	0.4241087983
81	0.4209152453
82	0.4180711104
83	0.4153893881
84	0.4124059401
85	0.4092861649
86	0.4064218367
87	0.4036894988
88	0.4011066241
89	0.3983486541
90	0.3956058672
91	0.3931602011
92	0.390383413
93	0.3874920751
94	0.3850455968
95	0.3827578181
96	0.3805233635
97	0.3781894423
98	0.3760602841
99	0.3738503611
100	0.3716187063
101	0.3693956661
102	0.3673583111
103	0.3650767096
104	0.3628328635
105	0.3609388343
106	0.3587816735
107	0.3566347625
108	0.3546906203
109	0.352700966
110	0.3506843448
111	0.3487875557
112	0.3468326431
113	0.3448629556
114	0.3430207685
115	0.3414163505
116	0.3394692728
117	0.3376236829
118	0.3357877669
119	0.3339890904
120	0.332405811
121	0.330776248
122	0.3288856504
123	0.3273059365
124	0.3255511721
125	0.3239633026
126	0.3223432453
127	0.3206250499
128	0.3191492986
129	0.3176361071
130	0.3159660643
131	0.3145337863
132	0.3130066243
133	0.3115514948
134	0.3100630175
135	0.3086440651
136	0.3073121586
137	0.3058369988
138	0.3043557068
139	0.3029368785
140	0.3017097477
141	0.3004443066
142	0.2990410828
143	0.297801185
144	0.2965119823
145	0.2951056012
146	0.2937429865
147	0.2924627674
148	0.2912068999
149	0.2899920904
150	0.2887953455
151	0.2876233415
152	0.286327697
153	0.2852020533
154	0.2840975965
155	0.282938114
156	0.2817219019
157	0.280672863
158	0.2795258658
159	0.2784682221
160	0.2774487891
161	0.2763451482
162	0.2752655515
163	0.2742817874
164	0.2731893918
165	0.2720214443
166	0.2709420396
167	0.2699464113
168	0.2687746738
169	0.2676013398
170	0.2665837958
171	0.265399838
172	0.2644412037
173	0.2634533747
174	0.2623751447
175	0.2613975303
176	0.2603393296
177	0.259481312
178	0.2585354662
179	0.2574856651
180	0.2565255486
181	0.255520328
182	0.2546956414
183	0.2538831742
184	0.2529780575
185	0.2521222497
186	0.2513154724
187	0.2505976865
188	0.2497157443
189	0.2488349456
190	0.2478898333
191	0.2472231879
192	0.2463177946
193	0.2455729087
194	0.2446857898
195	0.2439026234
196	0.2431176851
197	0.24224882
198	0.2413758181
199	0.2405210481
200	0.2397348149
201	0.2389222769
202	0.2382048079
203	0.2374316177
204	0.236676834
205	0.2359503955
206	0.2353237759
207	0.2345347916
208	0.2338114842
209	0.2330914791
210	0.2323695534
211	0.231612156
212	0.2308698914
213	0.2301676182
214	0.2295152973
215	0.2288089104
216	0.2281012348
217	0.2273123695
218	0.2266793312
219	0.2260131836
220	0.2254443772
221	0.2247495347
222	0.2240887593
223	0.2235072796
224	0.2228489674
225	0.222238418
226	0.2214695505
227	0.2206753162
228	0.2201388003
229	0.2193383629
230	0.2187558818
231	0.2180804589
232	0.2174909371
233	0.2168480886
234	0.2161488686
235	0.2155372185
236	0.2149874518
237	0.2144522116
238	0.2137016925
239	0.2131248637
240	0.2124915962
241	0.2119032668
242	0.2114259766
243	0.2107352746
244	0.2101289662
245	0.2094983185
246	0.208819977
247	0.2080542979
248	0.2074777571
249	0.2068951265
250	0.2064004745
251	0.2058503833
252	0.2051670477
253	0.2046751465
254	0.2041510488
255	0.2036119549
256	0.2030673472
257	0.2025514282
258	0.2020366489
259	0.2014753499
260	0.2009217796
261	0.2004185709
262	0.1999676381
263	0.1993606759
264	0.1988944434
265	0.1984331082
266	0.1978989927
267	0.1974263412
268	0.196813918
269	0.1962854244
270	0.1957596518
271	0.1952580575
272	0.1948345514
273	0.1942581927
274	0.1938088953
275	0.1933671214
276	0.1929013643
277	0.1924392523
278	0.1919948368
279	0.1914819099
280	0.1909816227
281	0.1905724704
282	0.1900591208
283	0.1896277729
284	0.1891137457
285	0.1886896702
286	0.1882580203
287	0.1878221198
288	0.1874364698
289	0.1870700801
290	0.1867172925
291	0.1861784954
292	0.1857403473
293	0.185256933
294	0.1848676002
295	0.184426862
296	0.1840854205
297	0.1837240334
298	0.1831836967
299	0.1826882335
300	0.1822915851
301	0.1819161369
302	0.1815258968
303	0.1811465444
304	0.1807396017
305	0.1803516392
306	0.1800274123
307	0.1796663287
308	0.1792931907
309	0.1788903543
310	0.178508751
311	0.17817667
312	0.177775487
313	0.1774492248
314	0.1770306452
315	0.1766060311
316	0.1762281293
317	0.1758242759
318	0.1753225838
319	0.1749826399
320	0.1746523941
321	0.1742785633
322	0.1739716424
323	0.1736419314
324	0.1733614936
325	0.1730228575
326	0.1726594662
327	0.1722909773
328	0.1720201613
329	0.1716324991
330	0.1712078037
331	0.1708065208
332	0.1705276488
333	0.170228762
334	0.1699245296
335	0.1695274595
336	0.1691760128
337	0.1687692734
338	0.1684506753
339	0.1679533168
340	0.1676194783
341	0.1672756034
342	0.1669530811
343	0.1664847226
344	0.1661635193
345	0.1657127463
346	0.1653867705
347	0.1651105105
348	0.1646478522
349	0.1643297972
350	0.1639528337
351	0.1636548212
352	0.1633254345
353	0.1630178951
354	0.1627050389
355	0.1624716008
356	0.1621841056
357	0.1619122683
358	0.1616533145
359	0.1613754371
360	0.1610782579
361	0.1607425307
362	0.1604949489
363	0.1600616011
364	0.1597929306
365	0.1595154791
366	0.1591849646
367	0.1588972162
368	0.1586166961
369	0.1582903414
370	0.1580339708
371	0.1577906176
372	0.1575016106
373	0.157199327
374	0.1569630906
375	0.1566293702
376	0.1563638647
377	0.1560728417
378	0.1558623509
379	0.1555498821
380	0.1552613805
381	0.1549645552
382	0.1546514661
383	0.1543648395
384	0.1541014034
385	0.1538094583
386	0.153518626
387	0.1532875031
388	0.153021789
389	0.1527353655
390	0.152469914
391	0.1522338258
392	0.1520189755
393	0.1517704725
394	0.1515145302
395	0.1512306526
396	0.1509473953
397	0.1506326032
398	0.1503777235
399	0.1500530582
400	0.1497955451
401	0.1494949361
402	0.1492966639
403	0.149062586
404	0.148836603
405	0.1485249205
406	0.1482617112
407	0.1479842271
408	0.1476808532
409	0.1474321994
410	0.1471612648
411	0.1469237512
412	0.1466359534
413	0.146417777
414	0.1461394354
415	0.14587838
416	0.1456841465
417	0.1454455627
418	0.1451833583
419	0.1449521781
420	0.1446987915
421	0.1444080871
422	0.1441457302
423	0.1439245417
424	0.1436940602
425	0.1434461665
426	0.1432163762
427	0.1429559009
428	0.1426973206
429	0.1424759277
430	0.1422561276
431	0.1419633956
432	0.1417330653
433	0.1415008845
434	0.1412160366
435	0.1409525425
436	0.1407434784
437	0.1405699919
438	0.1403292549
439	0.1401295712
440	0.1399063304
441	0.1396290515
442	0.1394655005
443	0.139305932
444	0.1391093951
445	0.1388632475
446	0.1386238845
447	0.1383913086
448	0.1381830802
449	0.1379246311
450	0.1377097081
451	0.1374709347
452	0.1372193101
453	0.1369636385
454	0.1367302533
455	0.1365435661
456	0.1363206149
457	0.1360560799
458	0.1358475551
459	0.1356535118
460	0.1354168106
461	0.1351817134
462	0.1350034023
463	0.1348284181
464	0.134628451
465	0.1344309513
466	0.1342592559
467	0.1340309568
468	0.1337702158
469	0.1334772087
470	0.1332371059
471	0.1330333976
472	0.1328056149
473	0.1325961694
474	0.1323639673
475	0.132163001
476	0.1319641555
477	0.1317926536
478	0.1315854894
479	0.1313530548
480	0.1311418799
481	0.1309364063
482	0.1307547185
483	0.1304200183
484	0.1302146775
485	0.1300572524
486	0.1298744012
487	0.1295522186
488	0.1293775511
489	0.1292105756
490	0.1290141933
491	0.1288257963
492	0.1286236986
493	0.1284188525
494	0.1282436988
495	0.1280593927
496	0.1278945326
497	0.1276536645
498	0.1273904022
499	0.1271942891
500	0.1270238737
501	0.1268420059
502	0.1266500826
503	0.1264889522
504	0.1263159299
505	0.1261626337
506	0.1259513356
507	0.1257677725
508	0.1256222439
509	0.1254606273
